developer,model,n_assessments,Interest_mean_entropy,Interest_std_entropy,Surprise_mean_entropy,Surprise_std_entropy,Sadness_mean_entropy,Sadness_std_entropy,Anger_mean_entropy,Anger_std_entropy,overall_mean_entropy,overall_std_entropy,overall_var_entropy
Google,gemma-3-12b-it,120,0.5036558639962619,0.41859465483753117,0.5113258369563344,0.4143211253067332,0.46957468538025765,0.16659339969981324,0.12984341219319423,0.23652710882817857,0.403599949631512,0.18340425326458526,0.010216904139851692
Google,gemini-2.5-flash-preview-04-17,109,0.3994039404530602,0.26806894210067067,0.44616754269771414,0.34505520303156,0.31279274459990525,0.23425778285009008,0.4625098615318462,0.3929876002887872,0.40521852232063144,0.06717006666671542,0.026405963196264735
OpenAI,gpt-4.1-mini,120,0.6063042755271636,0.26927511128410103,0.18644622574952066,0.26430772938420394,0.46771412411517327,0.3527646787007187,0.3925440267301807,0.39433912156140266,0.41325216303050955,0.17521889494719556,0.026863252241433645
Google,gemini-2.0-flash-thinking-exp,112,0.45378272627430893,0.2835061083226161,0.4800130812684181,0.3600819984424626,0.31004293199531424,0.2320427660370198,0.4194881500644709,0.3596542021803167,0.41583172240062805,0.07475329013899995,0.019176456796077587
Google,gemma-3-27b-it,120,0.33015788018109876,0.2904000571892394,0.17625707931831497,0.25031029352589707,0.8324149495422389,0.24826415003620006,0.3763610632220181,0.40627044019917585,0.42879774306591767,0.282349112596927,0.013757707542105709
Google,gemma-3-1b-it,100,0.4879298334006411,0.3995056591436344,0.43377063739161525,0.09073446691121487,0.5607332883715422,0.27897144862720735,0.25601888318355015,0.2994498737774619,0.4346131605868372,0.12993021203566843,0.007201259251750417
Anthropic,claude-3-5-haiku-20241022,120,0.4753204151122301,0.1350486636639922,0.4304191098584751,0.3825976258579669,0.6003626622918158,0.39588330777913633,0.251495146222578,0.3152074078978545,0.43939933337127474,0.14443931289988765,0.009956188226534811
DeepSeek,DeepSeek-V3,120,0.36747864214219894,0.2594754532376773,0.31317052572213816,0.2956625034807294,0.713052711060003,0.3707168671735822,0.3688644428977224,0.3744976420175016,0.4406415804555156,0.1834497814032343,0.006057017330166285
Google,gemini-2.0-flash-lite,120,0.5253138734146062,0.3104893645694875,0.427442487711007,0.39837303436013455,0.4125706830456056,0.24242583038349735,0.4230360179826056,0.46796363297676835,0.4470907655384561,0.05252039731595508,0.01473036146690488
OpenAI,o4-mini,119,0.4879867041022007,0.3117229558230092,0.3489735207777797,0.35863387276881487,0.48348685862679947,0.24787347284921007,0.486783659855788,0.41615614166033643,0.45180768584064196,0.06858249439730615,0.021057764117181316
xAI,grok-2-latest,120,0.45669735533974026,0.17936781676938243,0.5841601358286667,0.3924249333129451,0.5585764018008371,0.40268018922425186,0.2175104907362008,0.341945872612853,0.45423609592636127,0.167144872815035,0.011711576745323487
Anthropic,claude-3-5-sonnet-20241022,120,0.29160796842805004,0.2627126486781695,0.5480374418347457,0.2158899542764696,0.4037396821497127,0.42440983043441505,0.5742593112279984,0.41217926553179207,0.4544111009101267,0.13191150803537402,0.03324381697538687
OpenAI,gpt-4o-mini,120,0.5437391514951551,0.20092662651101248,0.23951889291441883,0.3329304606352846,0.6584017234106196,0.3476414995281968,0.3812069007658929,0.33815725959839527,0.45571666714652165,0.18359590831742154,0.01452988119909843
OpenAI,gpt-4.1-nano,120,0.5086162359920708,0.14212404681891597,0.38596839020957474,0.3584979600465329,0.5723475697048621,0.42612584428517447,0.359695366862938,0.3766814990189114,0.4566568906923615,0.10080097218145051,0.02680912999550406
Meta,Llama-4-Maverick-17B,120,0.485696545039536,0.14493534698577765,0.6008966053173527,0.4036894413612587,0.5584728150944552,0.41370507885145147,0.19786989396279295,0.2921546355977515,0.46073396485353424,0.1815847816705299,0.0028666792487125887
Meta,Llama-4-Scout-17B,77,0.4421793564997237,5.587516268061888e-17,0.29364329359937436,0.2922936990203556,0.5484230523039471,0.34532875671532215,0.5652887780378933,0.4898776572160189,0.4623836201102346,0.12499835396165232,0.03324710099506683
Anthropic,claude-3-haiku-20240307,120,0.4232340395825088,0.27372793706263654,0.5686850129968358,0.3420082689423649,0.4079707054927456,0.4198877932810656,0.4530868145205994,0.3710084654411584,0.4632441431481724,0.07274821797788765,0.015087402767186205
OpenAI,o3-mini,120,0.5094189790965455,0.17250988674615764,0.4807233203743165,0.32066759023810876,0.5795197509045459,0.39745655927090234,0.29252152682373916,0.37008366017003747,0.46554589429978677,0.12258693998095115,0.021314469935475044
OpenAI,o1-mini,120,0.611691150460293,0.3190109549868995,0.4224409651908926,0.3917335349029859,0.3869952947641709,0.40341663757056256,0.4441342957613015,0.40952377880583274,0.46631542654416447,0.09973758123459146,0.022852890724156937
DeepSeek,DeepSeek-V3-0324,120,0.341271556014818,0.28453897144388557,0.3864099073005315,0.2584701919460132,0.8049944740394995,0.3568513058321295,0.3493095046003108,0.3301239353313983,0.47049636048878996,0.22386366662936907,0.00845450451071786
Google,gemini-2.0-flash,119,0.5043503632566083,0.40331923875886155,0.447418133569757,0.3810290426989675,0.8076620397084961,0.31162815050582077,0.1298833868812385,0.2837418109253709,0.472328480854025,0.2777067784759454,0.006450303655189744
xAI,grok-3-latest,120,0.38864407478903173,0.2830744610972489,0.4480821024956752,0.3954831477845129,0.5120295939760972,0.22184786791465358,0.5555131025302419,0.36552381837917813,0.47606721844776156,0.07310019086458111,0.019450863376739406
xAI,grok-3-mini-fast-latest,120,0.5434728777369252,0.2905574959340827,0.45170656424498656,0.39063584993831874,0.49557183066486404,0.26764972033170914,0.42143729227230203,0.37893877176141627,0.47804714122976943,0.053185658255394494,0.019356425726618866
Google,gemini-2.5-pro-preview-03-25,99,0.5126080068730066,0.3061982787830448,0.33977792075946517,0.38194627577894047,0.53044059095914,0.2640036765545086,0.5317131660008689,0.3803750849648274,0.4786349211481201,0.09298129670677893,0.02712645051163897
xAI,grok-3-fast-latest,120,0.39520240956364305,0.2869299846438947,0.4777690243132759,0.3954098054580291,0.5219042074064151,0.23210220767504625,0.5212339324103883,0.3851233913953471,0.4790273934234306,0.059576350236482445,0.020307265891911546
xAI,grok-3-mini-latest,120,0.5005554205291202,0.26429257631222675,0.5314191999900234,0.40094842537680325,0.4989096187306648,0.23688253121813602,0.4007514734972096,0.35867485668575694,0.48290892818675446,0.05677591807965417,0.015399759582741026
Alibaba,Qwen3-235B-A22B-FP8,80,0.4028283561259989,0.13793543666035524,0.4167803178656186,0.3647931068759215,0.6699504755504011,0.3272639202566786,0.4487206295369228,0.3906676682067463,0.48456994476973536,0.12507096042511773,0.015715445761651507
Google,gemini-2.0-pro-exp,23,0.6515922305770266,0.32364931042784395,0.24604443155273692,0.30954891341031016,0.5461404913159161,0.2791528902685467,0.5443481961127611,0.37494071710716886,0.49703133738961014,0.1746750227548706,0.02634103729203023
Alibaba,Qwen2.5-VL-7B-Instruct,109,0.360201220980831,2.2307022056713824e-16,0.8661312240470291,0.2435667639924877,0.5562323780882455,0.2879723491068884,0.27089066928687877,0.4257983762733323,0.5133638731007462,0.26365037782746087,0.01669834281660963
OpenAI,gpt-4o,120,0.42351335920319566,0.2697063737870797,0.6040973554303124,0.353256610208309,0.5551427672266179,0.3425562089191243,0.4793541380783142,0.39998614448094333,0.5155269049846101,0.07997729449924734,0.016134130175822336
DeepSeek,DeepSeek-R1,120,0.5454694330406057,0.368466929440739,0.4828933235884245,0.2516623715439125,0.6010949679699173,0.3261496304181109,0.46898768208892583,0.3564869617069673,0.5246113516719684,0.060880181793025304,0.022634900522776346
Meta,Llama-3.3-70B-Instruct-Turbo,120,0.6375598488577222,0.27746827861048656,0.5490748588583263,0.4252520813390376,0.8150460358781435,0.28465835781476967,0.23433242912823468,0.28095510715605626,0.5590032931806066,0.243062928957732,0.007336296711622278
OpenAI,o3,120,0.5627646530146905,0.3293231112118036,0.4824694671849243,0.3707818358263738,0.667017524807454,0.2874920774444333,0.5485426042063296,0.33736903138500823,0.5651985623033496,0.07636436594616801,0.01827036398730767
OpenAI,gpt-4.1,120,0.3629937845228593,0.29243903994387405,0.6114045910486018,0.3746656191054569,0.8136467610472937,0.2806169993846406,0.5109873705625078,0.3071742289652804,0.5747581267953157,0.1891397974388547,0.00990177170950428
Google,gemma-3-4b-it,120,0.5317742416025577,0.1531086619795726,0.8168689801441129,0.33464671312966787,0.5183662724260469,0.4672413964764801,0.5291400670404137,0.3310379825835768,0.5990373903032828,0.14533684754688145,0.018306353188797104
Anthropic,claude-3-7-sonnet-20250219,120,0.5488466738744833,0.30788684359295154,0.7391721359297482,0.318907853102588,0.7823394348755549,0.31545420387724354,0.5756056803255286,0.2860138085731296,0.6614909812513288,0.1164813796779894,0.008765200732751043
