developer,model,temperature,mean_entropy,n_assessments
Alibaba,Qwen2.5-VL-7B-Instruct,0.1,0.5282770573760613,30
Alibaba,Qwen2.5-VL-7B-Instruct,0.4,0.5365560851298007,30
Alibaba,Qwen2.5-VL-7B-Instruct,0.7,0.5302159595180096,29
Alibaba,Qwen2.5-VL-7B-Instruct,0.9,0.43177025333915864,20
Alibaba,Qwen3-235B-A22B-FP8,0.1,0.4621868441124922,23
Alibaba,Qwen3-235B-A22B-FP8,0.4,0.5329938359982056,19
Alibaba,Qwen3-235B-A22B-FP8,0.7,0.4527075532662603,16
Alibaba,Qwen3-235B-A22B-FP8,0.9,0.48932247412570173,22
Anthropic,claude-3-5-haiku-20241022,0.1,0.43482215208145225,30
Anthropic,claude-3-5-haiku-20241022,0.4,0.4121972637024428,30
Anthropic,claude-3-5-haiku-20241022,0.7,0.4303387299577245,30
Anthropic,claude-3-5-haiku-20241022,0.9,0.4802391877434796,30
Anthropic,claude-3-5-sonnet-20241022,0.1,0.580815706841664,30
Anthropic,claude-3-5-sonnet-20241022,0.4,0.42500089847602274,30
Anthropic,claude-3-5-sonnet-20241022,0.7,0.3984252802117035,30
Anthropic,claude-3-5-sonnet-20241022,0.9,0.41340251811111667,30
Anthropic,claude-3-7-sonnet-20250219,0.1,0.6791300202781829,30
Anthropic,claude-3-7-sonnet-20250219,0.4,0.6787696644796783,30
Anthropic,claude-3-7-sonnet-20250219,0.7,0.6616191661034768,30
Anthropic,claude-3-7-sonnet-20250219,0.9,0.6264450741439775,30
Anthropic,claude-3-haiku-20240307,0.1,0.48126249033794094,30
Anthropic,claude-3-haiku-20240307,0.4,0.45881903987866113,30
Anthropic,claude-3-haiku-20240307,0.7,0.4363383219186342,30
Anthropic,claude-3-haiku-20240307,0.9,0.47655672045745395,30
DeepSeek,DeepSeek-R1,0.1,0.46926555843340395,30
DeepSeek,DeepSeek-R1,0.4,0.5625028114129155,30
DeepSeek,DeepSeek-R1,0.7,0.5315662712078305,30
DeepSeek,DeepSeek-R1,0.9,0.5351107656337236,30
DeepSeek,DeepSeek-V3,0.1,0.3954977429512508,30
DeepSeek,DeepSeek-V3,0.4,0.4422554724478865,30
DeepSeek,DeepSeek-V3,0.7,0.46510490177550745,30
DeepSeek,DeepSeek-V3,0.9,0.4597082046474177,30
DeepSeek,DeepSeek-V3-0324,0.1,0.48360947079761674,30
DeepSeek,DeepSeek-V3-0324,0.4,0.4798490068974244,30
DeepSeek,DeepSeek-V3-0324,0.7,0.4700002289701828,30
DeepSeek,DeepSeek-V3-0324,0.9,0.44852673528993614,30
Google,gemini-2.0-flash,0.1,0.45603935730719536,30
Google,gemini-2.0-flash,0.4,0.47357545569904064,30
Google,gemini-2.0-flash,0.7,0.4847454273025838,30
Google,gemini-2.0-flash,0.9,0.47504420732290964,29
Google,gemini-2.0-flash-lite,0.1,0.5212940846390928,30
Google,gemini-2.0-flash-lite,0.4,0.46508298206961185,30
Google,gemini-2.0-flash-lite,0.7,0.404916557602821,30
Google,gemini-2.0-flash-lite,0.9,0.3970694378422993,30
Google,gemini-2.0-flash-thinking-exp,0.1,0.4140382671996632,28
Google,gemini-2.0-flash-thinking-exp,0.4,0.46071264171033155,27
Google,gemini-2.0-flash-thinking-exp,0.7,0.40701230211412226,29
Google,gemini-2.0-flash-thinking-exp,0.9,0.38348154784968824,28
Google,gemini-2.0-pro-exp,0.4,0.48676676800235863,1
Google,gemini-2.0-pro-exp,0.7,0.4974979087253943,22
Google,gemini-2.5-flash-preview-04-17,0.1,0.38030580730314184,28
Google,gemini-2.5-flash-preview-04-17,0.4,0.38528674783538996,28
Google,gemini-2.5-flash-preview-04-17,0.7,0.44161148937854366,24
Google,gemini-2.5-flash-preview-04-17,0.9,0.41839833255120285,29
Google,gemini-2.5-pro-preview-03-25,0.1,0.49020291103242675,26
Google,gemini-2.5-pro-preview-03-25,0.4,0.4895106010026148,25
Google,gemini-2.5-pro-preview-03-25,0.7,0.42455247148891173,24
Google,gemini-2.5-pro-preview-03-25,0.9,0.5088565485842311,24
Google,gemma-3-12b-it,0.1,0.43719855146157466,30
Google,gemma-3-12b-it,0.4,0.3677459134618155,30
Google,gemma-3-12b-it,0.7,0.4137534657384782,30
Google,gemma-3-12b-it,0.9,0.3957018678641798,30
Google,gemma-3-1b-it,0.1,0.46074625631073923,30
Google,gemma-3-1b-it,0.4,0.43444451112931487,30
Google,gemma-3-1b-it,0.7,0.3976493175004182,30
Google,gemma-3-1b-it,0.9,0.4676113510469545,10
Google,gemma-3-27b-it,0.1,0.3941310960240354,30
Google,gemma-3-27b-it,0.4,0.4354081332067258,30
Google,gemma-3-27b-it,0.7,0.414647198811514,30
Google,gemma-3-27b-it,0.9,0.4710045442213957,30
Google,gemma-3-4b-it,0.1,0.5977433967102205,30
Google,gemma-3-4b-it,0.4,0.6479109007728546,30
Google,gemma-3-4b-it,0.7,0.6057024029636517,30
Google,gemma-3-4b-it,0.9,0.5447928607664049,30
Meta,Llama-3.3-70B-Instruct-Turbo,0.1,0.5484952594519094,30
Meta,Llama-3.3-70B-Instruct-Turbo,0.4,0.5525057074649452,30
Meta,Llama-3.3-70B-Instruct-Turbo,0.7,0.5844848114388737,30
Meta,Llama-3.3-70B-Instruct-Turbo,0.9,0.5505273943666988,30
Meta,Llama-4-Maverick-17B,0.1,0.48165288163781733,30
Meta,Llama-4-Maverick-17B,0.4,0.4706791340059096,30
Meta,Llama-4-Maverick-17B,0.7,0.44930110978871013,30
Meta,Llama-4-Maverick-17B,0.9,0.4413027339817,30
Meta,Llama-4-Scout-17B,0.1,0.47661644592769536,30
Meta,Llama-4-Scout-17B,0.4,0.49124968171290795,11
Meta,Llama-4-Scout-17B,0.7,0.40989005222984504,19
Meta,Llama-4-Scout-17B,0.9,0.4772581105557746,17
OpenAI,gpt-4.1,0.1,0.5771523832630895,30
OpenAI,gpt-4.1,0.4,0.5667931479895472,30
OpenAI,gpt-4.1,0.7,0.5845639730209067,30
OpenAI,gpt-4.1,0.9,0.5705230029077193,30
OpenAI,gpt-4.1-mini,0.1,0.4174077772341456,30
OpenAI,gpt-4.1-mini,0.4,0.4109248818561945,30
OpenAI,gpt-4.1-mini,0.7,0.41421128609972313,30
OpenAI,gpt-4.1-mini,0.9,0.4104647069319749,30
OpenAI,gpt-4.1-nano,0.1,0.5114139339595708,30
OpenAI,gpt-4.1-nano,0.4,0.4724341980730308,30
OpenAI,gpt-4.1-nano,0.7,0.41240291602165746,30
OpenAI,gpt-4.1-nano,0.9,0.43037651471518656,30
OpenAI,gpt-4o,0.1,0.5501785863132489,20
OpenAI,gpt-4o,0.4,0.482701850156408,30
OpenAI,gpt-4o,0.7,0.53565622535535,30
OpenAI,gpt-4o,0.9,0.5255074527835909,30
OpenAI,gpt-4o-mini,0.1,0.4526646802080992,20
OpenAI,gpt-4o-mini,0.4,0.45345668946693074,30
OpenAI,gpt-4o-mini,0.7,0.42987229459606874,30
OpenAI,gpt-4o-mini,0.9,0.4807691571638933,30
xAI,grok-2-latest,0.1,0.4224172531778705,30
xAI,grok-2-latest,0.4,0.44305642273873336,30
xAI,grok-2-latest,0.7,0.4896839111344014,30
xAI,grok-2-latest,0.9,0.46178679665444,30
xAI,grok-3-fast-latest,0.1,0.48799380361407785,30
xAI,grok-3-fast-latest,0.4,0.4445380390672467,30
xAI,grok-3-fast-latest,0.7,0.4285881651046697,30
xAI,grok-3-fast-latest,0.9,0.5549895659077284,30
xAI,grok-3-latest,0.1,0.4985578891528545,30
xAI,grok-3-latest,0.4,0.44390162392242094,30
xAI,grok-3-latest,0.7,0.458063683692692,30
xAI,grok-3-latest,0.9,0.5037456770230788,30
xAI,grok-3-mini-fast-latest,0.1,0.45762166275060495,30
xAI,grok-3-mini-fast-latest,0.4,0.489619534425427,30
xAI,grok-3-mini-fast-latest,0.7,0.46886078755386773,30
xAI,grok-3-mini-fast-latest,0.9,0.49608658018917845,30
xAI,grok-3-mini-latest,0.1,0.45491115793185427,30
xAI,grok-3-mini-latest,0.4,0.5196358322740066,30
xAI,grok-3-mini-latest,0.7,0.48995841596315637,30
xAI,grok-3-mini-latest,0.9,0.4671303065780006,30
