developer,model,s_M,var_over_personas,var_models_global,ratio_varP_to_varM,eta2_M_persona,p_value_M_persona,f_statistic_M_persona,fixed_individuality_flag,persona_chameleon_flag
Google,gemini-2.0-pro-exp,47.55434782608695,123.85233729338853,27.707902805270503,4.46992824263227,0.05425427506349666,1.0,0.0,False,True
Google,gemma-3-1b-it,65.71,31.38083333333329,27.707902805270503,1.132558950920101,0.39162405387350047,2.1870921691478336e-10,20.59905524493935,False,True
Alibaba,Qwen2.5-VL-7B-Instruct,36.68577981651376,25.206370144669048,27.707902805270503,0.9097177192304275,0.08564256943650796,0.023920486999888756,3.2782474665629535,False,True
xAI,grok-3-fast-latest,46.125,21.792824074074076,27.707902805270503,0.7865201573440166,0.15053325018787678,0.00027272748273542944,6.852085745029944,False,True
Meta,Llama-4-Scout-17B,47.66233766233766,18.71777252687538,27.707902805270503,0.6755391289778506,0.05471812924930618,0.2471779335554271,1.4085475661798064,False,True
xAI,grok-2-latest,45.552083333333336,17.8349247685185,27.707902805270503,0.6436764591626185,0.17031850354591307,7.351791769050647e-05,7.937562585065735,False,True
xAI,grok-3-latest,46.291666666666664,17.81828703703705,27.707902805270503,0.6430759903505838,0.11673668087171483,0.0023408537794720975,5.110388068072883,False,True
Google,gemma-3-4b-it,50.85208333333333,16.251637731481505,27.707902805270503,0.5865343849982819,0.10942380263244501,0.003671091081896325,4.750917118933109,False,True
Google,gemini-2.5-flash-preview-04-17,42.37385321100918,13.592033058431518,27.707902805270503,0.49054716100152074,0.05512282357993554,0.11250694709824627,2.0418514421180536,False,True
Google,gemini-2.0-flash-thinking-exp,42.263392857142854,11.610307749207465,27.707902805270503,0.4190251362870737,0.046169176450529356,0.16262610593529497,1.7425420852242495,False,False
Google,gemini-2.0-flash-lite,40.916666666666664,10.068287037037047,27.707902805270503,0.3633723962364229,0.0709705316059133,0.03549682862984623,2.9538286804890816,False,True
Meta,Llama-4-Maverick-17B,50.875,8.576388888888886,27.707902805270503,0.30952861893457756,0.0318849559806883,0.28680685385600496,1.2734901416964461,False,False
OpenAI,o1-mini,54.166666666666664,8.517361111111107,27.707902805270503,0.30739826001883347,0.07302044056360389,0.03159431447845341,3.0458676314747213,False,True
OpenAI,gpt-4.1-nano,44.291666666666664,7.322916666666671,27.707902805270503,0.2642898207826011,0.04183915038817103,0.17334042222158852,1.6884226508851237,False,False
DeepSeek,DeepSeek-R1,50.0625,5.89062499999999,27.707902805270503,0.21259728826822272,0.03087998398208905,0.30131434274271285,1.2320724240261447,False,False
OpenAI,gpt-4.1,48.666666666666664,5.483796296296293,27.707902805270503,0.19791452044696736,0.04175111471422783,0.17413244561512822,1.6847151720248152,False,False
Alibaba,Qwen3-235B-A22B-FP8,51.55,5.474240373023836,27.707902805270503,0.19756963966188537,0.02693551793226301,0.5541978402262121,0.7012551242585543,False,False
OpenAI,o3-mini,48.05833333333333,4.774490740740744,27.707902805270503,0.1723151251935443,0.03709633558174871,0.22103373469444088,1.4896522835032384,False,False
Google,gemma-3-12b-it,43.354166666666664,4.773726851851852,27.707902805270503,0.17228755584286984,0.028696266250143498,0.33505087749035695,1.142370736482695,False,False
xAI,grok-3-mini-latest,45.010416666666664,4.521267361111121,27.707902805270503,0.16317609430371977,0.022264271653893945,0.4534652525441719,0.8804886081778619,False,False
DeepSeek,DeepSeek-V3-0324,51.104166666666664,4.03530092592593,27.707902805270503,0.1456371835243463,0.02695702262719826,0.3641864346646411,1.0712149745594586,False,False
Google,gemini-2.5-pro-preview-03-25,46.59090909090909,3.8693105271853905,27.707902805270503,0.13964645950935642,0.015814053572035355,0.677141037562585,0.5088249481025335,False,False
OpenAI,gpt-4o-mini,43.541666666666664,3.5150462962963025,27.707902805270503,0.12686078484538652,0.02556827748779261,0.38895449804721427,1.0145811553758461,False,False
DeepSeek,DeepSeek-V3,47.427083333333336,3.3441840277777755,27.707902805270503,0.12069423121917607,0.02431952158456173,0.4123996665795442,0.9637938396904757,False,False
Anthropic,claude-3-5-sonnet-20241022,57.479166666666664,3.1186342592592706,27.707902805270503,0.11255396271514474,0.03826898358886232,0.20824541659046092,1.5386152748037103,False,False
Google,gemini-2.0-flash,50.220588235294116,2.7806031730303418,27.707902805270503,0.10035415500668729,0.021550104750941913,0.4723724396504271,0.844281708033535,False,False
OpenAI,o3,49.36875,2.6679803240740796,27.707902805270503,0.09628950782830757,0.010326168892497717,0.7507914619817809,0.40344456725009586,False,False
Anthropic,claude-3-5-haiku-20241022,48.677083333333336,2.628906250000009,27.707902805270503,0.09487929376957202,0.02170472448939373,0.4651869898948724,0.857869160704257,False,False
Google,gemma-3-27b-it,43.75,2.447916666666664,27.707902805270503,0.08834723738820931,0.027293844367015107,0.35838253827013006,1.0849751243781096,False,False
OpenAI,gpt-4.1-mini,45.947916666666664,2.207609953703709,27.707902805270503,0.07967437915524177,0.01832254841804567,0.5410004173615461,0.7216951668012167,False,False
OpenAI,gpt-4o,47.427083333333336,1.9205729166666725,27.707902805270503,0.06931498678064324,0.020933500065441868,0.48172555938057837,0.8267351290756934,False,False
Anthropic,claude-3-haiku-20240307,58.0,1.3472222222222194,27.707902805270503,0.04862230937109955,0.015630035449564924,0.6072962863131002,0.6139575489714628,False,False
xAI,grok-3-mini-fast-latest,44.5,1.3229166666666636,27.707902805270503,0.04774510275873434,0.0068409523467518945,0.8495399298421347,0.2663388353551606,True,False
OpenAI,o4-mini,45.15756302521008,1.322420646716873,27.707902805270503,0.04772720100870741,0.009301168981413747,0.7820753363289417,0.35989222939489307,True,False
Anthropic,claude-3-7-sonnet-20250219,51.28125,0.36964699074073687,27.707902805270503,0.013340850563053942,0.004119167267210601,0.9230745096324457,0.15993325951300164,True,False
Meta,Llama-3.3-70B-Instruct-Turbo,46.5,0.20833333333333362,27.707902805270503,0.007518913820273152,0.003461005999077078,0.9394357012413328,0.13429034498726555,True,False
